month,Close,Volume,sales,chargers,inflation_p,inflation
7/1/2018,20.72119258,111541421.1,11062,1236,2.80%,2.801
8/1/2018,22.08095661,180887087,16675,1265,2.87%,2.872
9/1/2018,19.34319289,154796368.4,21700,1285,2.95%,2.95
10/1/2018,18.99953643,186756978.3,29975,1295,2.70%,2.699
11/1/2018,22.96634924,95013642.86,20325,1310,2.28%,2.277
12/1/2018,22.94063142,115619368.4,24600,1347,2.52%,2.522
1/1/2019,21.23295238,125465785.7,32600,1364,2.18%,2.177
2/1/2019,20.51522795,101486921.1,8325,1387,1.91%,1.91
3/1/2019,18.51714295,152709642.9,7650,1406,1.55%,1.551
4/1/2019,17.77704743,164819500,14625,1440,1.52%,1.52
5/1/2019,14.64769705,192681000,11925,1463,1.86%,1.863
6/1/2019,14.24776665,161227950,16350,1494,2.00%,1.996
7/1/2019,16.15881823,135911386.4,25025,1525,1.79%,1.79
8/1/2019,15.00684845,91220863.64,15650,1537,1.65%,1.648
9/1/2019,15.8174334,101831475,16025,1550,1.81%,1.811
10/1/2019,17.75698565,148684304.3,23025,1580,1.75%,1.75
11/1/2019,22.55333335,118328100,18612,1612,1.71%,1.711
12/1/2019,25.17965086,147914285.7,19301,1675,1.76%,1.764
1/1/2020,35.24393638,290870357.1,18612,1699,2.05%,2.051
2/1/2020,53.16312232,373094842.1,22350,1731,2.29%,2.285
3/1/2020,37.27342459,287001136.4,20450,1766,2.49%,2.487
4/1/2020,44.23990505,272483928.6,10000,1773,2.34%,2.335
5/1/2020,53.29503305,204527700,6624,1784,1.54%,1.539
6/1/2020,64.23615159,174390477.3,14720,1811,0.33%,0.329
7/1/2020,97.34272759,258159204.5,15456,1840,0.12%,0.118
8/1/2020,120.0199047,222482628.6,48846,1863,0.65%,0.646
9/1/2020,137.8317453,248040685.7,43418,1895,0.99%,0.986
10/1/2020,142.403181,113681781.8,47036,1926,1.31%,1.31
11/1/2020,155.2041657,117389820,21591,1971,1.37%,1.371
12/1/2020,212.9395447,163138090.9,17736,2030,1.18%,1.182
1/1/2021,276.2589472,111425494.7,24675,2504,1.18%,1.175
2/1/2021,264.7564906,82556510.53,21120,2517,1.36%,1.362
3/1/2021,218.934202,122928573.9,21120,2556,1.40%,1.4
4/1/2021,236.5393647,96934242.86,23760,2620,1.68%,1.676
5/1/2021,205.5843352,93776370,24751,2655,2.62%,2.62
6/1/2021,208.9731834,70898440.91,23799,2720,4.16%,4.16
7/1/2021,219.7115879,64064257.14,24751,2798,4.99%,4.993
8/1/2021,235.0810615,51998850,28350,2850,5.39%,5.391
9/1/2021,251.3174628,55738757.14,27301,2923,5.37%,5.365
10/1/2021,292.7830171,75562085.71,28350,2991,5.25%,5.251
11/1/2021,373.554125,92730214.29,26232,3052,5.39%,5.39
12/1/2021,339.6299994,69553077.27,26232,3134,6.22%,6.222
1/1/2022,336.7228301,95800320,26232,3165,6.81%,6.809
2/1/2022,292.9615767,73217194.74,37594,3204,7.04%,7.036
3/1/2022,304.7931863,75185778.26,36202,3257,7.48%,7.48
4/1/2022,332.4625031,76047990,89575,3316,7.87%,7.871
5/1/2022,255.2233336,92772457.14,40568,3378,8.54%,8.542
6/1/2022,234.0258731,95772757.14,39066,3436,8.26%,8.259
7/1/2022,251.3946662,87244200,39066,3514,8.58%,8.582
8/1/2022,294.869857,73707095.65,37518,3559,9.06%,9.06
9/1/2022,288.734763,61870047.62,38962,4222,8.53%,8.525
10/1/2022,223.810477,82631576.19,37518,4326,8.26%,8.263
11/1/2022,191.2466663,89775014.29,46667,4428,8.20%,8.202
12/1/2022,152.9704763,140202271.4,44800,4640,7.75%,7.745
1/1/2023,134.1959991,194874970,48533,4702,7.11%,7.11
2/1/2023,199.7752637,190781321.1,55922,4768,6.45%,6.454
3/1/2023,188.522609,143983473.9,53685,4897,6.41%,6.41
4/1/2023,176.955262,131851384.2,60395,5010,6.04%,6.036
5/1/2023,175.7990896,121908854.5,80000,5110,4.99%,4.985
6/1/2023,246.0904759,163832281,80000,5205,4.93%,4.93
7/1/2023,279.820007,119685900,80000,5350,4.05%,4.048
